#=====================================================
# File created:        Tue-25-Feb-2025-at-03-59-41PM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        0.979621
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2489.8506  0.1162 
   00001    0.7020   -3933.0862  0.1667 
   00002    0.6220   -4774.4108  0.0891 
   00003    0.5744   -5311.6716  0.0945 
   00004    0.5452   -5781.5676  0.0943 
   00005    0.5532   -6117.3501  0.1176 
   00006    0.5040   -6359.7711  0.1576 
   00007    0.4944   -6548.4233  0.0928 
   00008    0.5140   -6738.7510  0.1837 
   00009    0.4880   -6954.7500  0.1528 
   00010    0.4744   -7081.9969  0.1493 
   00011    0.4464   -7188.6049  0.1595 
   00012    0.4604   -7232.9528  0.0821 
   00013    0.4536   -7331.4860  0.1392 
   00014    0.4424   -7364.7103  0.1612 
   00015    0.4672   -7493.7648  0.0928 
   00016    0.4372   -7590.8506  0.1112 
   00017    0.4564   -7617.2893  0.1100 
   00018    0.4324   -7673.3186  0.1185 
   00019    0.4508   -7660.1584  0.1255 
   00020    0.4472   -7658.3428  0.1309 
   00021    0.4300   -7700.3063  0.1052 
   00022    0.4536   -7663.8330  0.1890 
   00023    0.4424   -7735.5466  0.1848 
   00024    0.4404   -7783.5713  0.1704 
   00025    0.4388   -7814.0517  0.1820 
   00026    0.4260   -7855.3553  0.1997 
   00027    0.4060   -7861.0472  0.1840 
   00028    0.4336   -7898.6040  0.0668 
   00029    0.4316   -7890.3166  0.1146 
   00030    0.4288   -7918.4818  0.1181 
   00031    0.4296   -7940.7245  0.1005 
   00032    0.4428   -7968.9566  0.1728 
   00033    0.4264   -8010.6604  0.1394 
   00034    0.4288   -8029.6425  0.1254 
   00035    0.4404   -8038.5670  0.1376 
   00036    0.4284   -8071.9584  0.2309 
   00037    0.4236   -8060.7496  0.1208 
   00038    0.4312   -8092.2413  0.0908 
   00039    0.4336   -8116.3924  0.1181 
   00040    0.4224   -8141.2737  0.1814 
   00041    0.4240   -8175.6086  0.1770 
   00042    0.4248   -8193.4878  0.2058 
   00043    0.4256   -8194.4516  0.1043 
   00044    0.4188   -8199.4026  0.0997 
   00045    0.4164   -8183.8440  0.1338 
   00046    0.4352   -8212.7715  0.2130 
   00047    0.4296   -8161.2277  0.1165 
   00048    0.4348   -8197.9188  0.1817 
   00049    0.4480   -8155.4194  0.1633 
   00050    0.4128   -8171.9534  0.1382 
   00051    0.4312   -8140.8533  0.0790 
   00052    0.4364   -8128.2376  0.0929 
   00053    0.4372   -8193.5751  0.1132 
   00054    0.4324   -8194.9306  0.1234 
   00055    0.4220   -8197.0528  0.2040 
   00056    0.4320   -8221.2708  0.1667 
   00057    0.4252   -8243.2586  0.1873 
   00058    0.4132   -8256.6877  0.1207 
   00059    0.4220   -8257.1030  0.0712 
   00060    0.4208   -8302.4021  0.1756 
   00061    0.4152   -8296.0174  0.1110 
   00062    0.4264   -8290.3308  0.1161 
   00063    0.4196   -8307.2199  0.0968 
   00064    0.4212   -8294.7483  0.1285 
   00065    0.4196   -8280.0574  0.1681 
   00066    0.4240   -8301.8703  0.1188 
   00067    0.4120   -8224.2621  0.0891 
   00068    0.4104   -8260.8330  0.1193 
   00069    0.4268   -8291.2394  0.0978 
   00070    0.4360   -8281.8871  0.1576 
   00071    0.4152   -8253.4717  0.1155 
   00072    0.4324   -8271.2866  0.1117 
   00073    0.4048   -8226.3210  0.0856 
   00074    0.4056   -8229.0101  0.0915 
